PARTY,Q2A_C,Q2A_D,Q2A_F,Q2B_A,Q2B_B,Q2B_C,Q2B_D,Q2B_E,Q2B_F,Q2B_G,Q2B_H,Q2B_I,Q2B_J,Q2B_K,Q2B_L,Q2B_M,Q2B_N,Q2B_O,Q2B_P,demFav,Q2A_A,Q2A_B,Q2A_E,repFav,cDemFav,zDemFav,zRepFav
Republican,3,4,3,2,4,NA,3,4,4,NA,NA,4,NA,NA,NA,4,NA,NA,NA,1.5,3,NA,2,2.5,-0.832861484,-1.038992326,0.637550921
Independent,3,NA,1,4,3,3,3,3,3,NA,4,4,4,4,4,NA,NA,NA,NA,1.692307692,4,4,3,1.333333333,-0.640553792,-0.799089029,-0.828874527
Democrat,2,1,2,3,NA,1,2,3,2,2,NA,NA,2,2,NA,2,NA,NA,2,3,4,NA,3,1.5,0.667138516,0.832253397,-0.619385178
Independent,2,4,2,1,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.833333333,3,NA,3,2,0.500471849,0.624337205,0.009082872
Independent,3,NA,3,3,3,3,3,3,3,NA,3,NA,NA,NA,NA,3,3,3,3,2,3,3,3,2,-0.332861484,-0.415243752,0.009082872
Independent,4,NA,1,4,4,4,3,1,3,3,NA,NA,NA,4,4,4,4,NA,NA,1.692307692,4,3,3,1.666666667,-0.640553792,-0.799089029,-0.409895828
Independent,2,NA,2,3,2,2,4,1,2,NA,NA,3,NA,2,NA,2,NA,NA,NA,2.727272727,3,2,3,2.333333333,0.394411243,0.492026902,0.428061571
Republican,3,NA,4,3,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,3,2.666666667,-0.332861484,-0.415243752,0.84704027
Republican,4,NA,4,3,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,1,4,4,2,-0.932861484,-1.163742041,0.009082872
Republican,4,NA,3,3,4,NA,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.285714286,2,NA,2,3,-1.047147198,-1.306313144,1.26601897
Democrat,2,NA,1,2,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,4,3,2,2,1.067138516,1.331252256,0.009082872
Independent,2,NA,2,2,2,3,2,2,2,3,NA,NA,NA,3,NA,2,NA,2,2,2.769230769,4,3,4,1.333333333,0.436369285,0.544369439,-0.828874527
Independent,4,NA,2,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25,3,3,3,2,-1.082861484,-1.350866613,0.009082872
Independent,2,NA,2,2,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,4,3,3,1.666666667,0.267138516,0.333254537,-0.409895828
Independent,4,NA,3,3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.75,4,4,4,1,-0.582861484,-0.727118039,-1.247853227
Independent,4,NA,4,4,4,4,4,4,4,NA,4,4,NA,4,NA,4,4,NA,NA,1,2,2,2,3,-1.332861484,-1.662740901,1.26601897
Independent,3,NA,1,3,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,4,1.333333333,0.667138516,0.832253397,-0.828874527
Independent,3,3,3,3,3,3,3,2,3,3,NA,NA,NA,3,3,NA,3,3,NA,2.071428571,2,NA,3,2.5,-0.261432912,-0.326136813,0.637550921
Independent,2,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.25,4,3,3,1.666666667,0.917138516,1.144127684,-0.409895828
Democrat,1,1,1,1,2,4,1,2,1,NA,NA,4,1,NA,NA,4,NA,NA,4,2.923076923,4,NA,4,1,0.590215439,0.736292077,-1.247853227
Other,3,NA,3,4,3,3,3,3,3,NA,NA,NA,NA,NA,3,NA,3,NA,NA,1.9,3,3,3,2,-0.432861484,-0.539993467,0.009082872
Independent,4,NA,4,4,4,4,4,4,4,4,4,4,NA,4,NA,4,NA,NA,NA,1,2,4,2,2.333333333,-1.332861484,-1.662740901,0.428061571
Independent,4,4,3,4,4,4,4,4,4,NA,NA,4,NA,4,NA,4,NA,2,4,1.214285714,3,NA,3,2,-1.11857577,-1.395420083,0.009082872
Democrat,3,3,1,2,2,3,2,3,3,NA,3,NA,3,3,3,3,NA,NA,NA,2.357142857,4,NA,3,1.5,0.024281373,0.030290944,-0.619385178
Other,3,3,3,3,NA,2,NA,3,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2.25,2,NA,3,2.5,-0.082861484,-0.103369465,0.637550921
Independent,2,2,4,3,2,2,2,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2.8,3,NA,3,2,0.467138516,0.582753967,0.009082872
Democrat,2,NA,1,2,2,2,1,2,2,3,3,NA,NA,3,NA,NA,3,NA,3,2.769230769,4,3,2,2,0.436369285,0.544369439,0.009082872
Democrat,3,NA,1,1,2,NA,4,2,NA,NA,NA,3,NA,NA,NA,2,NA,NA,NA,2.75,3,3,3,2,0.417138516,0.520379109,0.009082872
Democrat,3,1,2,3,2,2,3,1,2,NA,NA,NA,NA,2,NA,2,NA,NA,NA,2.909090909,4,NA,4,1,0.576229425,0.718844565,-1.247853227
Democrat,2,2,1,1,2,1,2,2,2,NA,NA,NA,NA,2,2,2,2,NA,2,3.214285714,4,NA,4,1,0.88142423,1.099574214,-1.247853227
Independent,3,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.666666667,2,3,3,2.333333333,0.333805183,0.416421014,0.428061571
Independent,4,NA,3,4,3,2,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.875,4,NA,3,1.5,-0.457861484,-0.571180896,-0.619385178
Democrat,2,2,1,1,2,2,2,1,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,3.4,4,NA,3,1.5,1.067138516,1.331252256,-0.619385178
Republican,4,NA,4,4,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25,1,3,4,2.333333333,-1.082861484,-1.350866613,0.428061571
Republican,4,4,4,4,4,4,4,4,4,NA,4,NA,4,NA,4,4,NA,NA,4,1,1,NA,2,3.5,-1.332861484,-1.662740901,1.894487019
Democrat,1,NA,1,2,2,1,1,1,1,NA,1,NA,NA,3,3,NA,NA,NA,NA,3.454545455,4,NA,4,1,1.121683971,1.399297555,-1.247853227
Democrat,2,2,1,2,2,2,2,2,2,2,NA,2,NA,2,2,NA,2,NA,NA,3.071428571,4,NA,4,1,0.738567088,0.921360336,-1.247853227
Independent,3,4,3,3,4,4,4,3,4,NA,NA,NA,NA,NA,3,3,3,3,3,1.642857143,2,NA,2,3,-0.690004341,-0.860778448,1.26601897
Republican,4,NA,4,4,NA,NA,NA,4,4,NA,NA,NA,NA,NA,4,4,NA,NA,NA,1,1,4,4,2,-1.332861484,-1.662740901,0.009082872
Democrat,4,NA,1,3,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,2,NA,3,2.5,-0.532861484,-0.664743182,0.637550921
Republican,4,4,4,4,4,4,4,4,4,4,NA,4,NA,4,4,NA,NA,NA,NA,1,1,NA,2,3.5,-1.332861484,-1.662740901,1.894487019
Democrat,3,NA,2,3,2,1,2,1,2,NA,NA,NA,NA,NA,NA,3,NA,NA,2,2.9,4,3,4,1.333333333,0.567138516,0.707503682,-0.828874527
Republican,2,NA,2,2,NA,2,2,2,NA,NA,3,NA,3,NA,NA,NA,NA,NA,3,2.666666667,3,NA,2,2.5,0.333805183,0.416421014,0.637550921
Independent,3,NA,2,2,3,2,4,3,3,NA,NA,4,NA,NA,4,NA,4,3,4,1.846153846,4,3,4,1.333333333,-0.486707638,-0.60716639,-0.828874527
Republican,4,NA,4,4,4,4,4,4,4,NA,NA,NA,NA,4,4,4,4,NA,4,1,1,4,4,2,-1.332861484,-1.662740901,0.009082872
Democrat,1,2,1,2,1,1,1,3,1,NA,2,NA,NA,2,NA,NA,NA,NA,3,3.333333333,4,NA,4,1,1.000471849,1.248085779,-1.247853227
Republican,4,4,4,4,4,4,4,4,4,4,NA,4,4,NA,4,NA,NA,4,NA,1,1,NA,2,3.5,-1.332861484,-1.662740901,1.894487019
Democrat,3,3,2,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,2,NA,3,2.5,0.267138516,0.333254537,0.637550921
Independent,3,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.333333333,3,3,3,2,1.000471849,1.248085779,0.009082872
Democrat,2,NA,2,2,2,2,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,4,1,0.667138516,0.832253397,-1.247853227
Republican,3,NA,3,4,3,3,3,3,3,NA,NA,3,NA,3,NA,3,NA,3,3,1.923076923,2,3,3,2.333333333,-0.409784561,-0.511205071,0.428061571
Democrat,2,NA,1,1,2,NA,2,2,1,NA,NA,2,NA,4,NA,NA,NA,NA,NA,3.111111111,4,2,4,1.666666667,0.778249627,0.970864191,-0.409895828
Republican,4,NA,2,2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.25,2,4,4,1.666666667,-0.082861484,-0.103369465,-0.409895828
Republican,2,NA,2,1,NA,2,4,1,4,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,2.5,3,1,1,3.333333333,0.167138516,0.208504822,1.684997669
Republican,4,NA,3,4,NA,2,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1.75,2,2,3,2.666666667,-0.582861484,-0.727118039,0.84704027
Democrat,2,2,2,1,3,3,1,1,1,NA,NA,1,NA,1,NA,3,NA,2,3,3.142857143,4,NA,2,2,0.809995659,1.010467275,0.009082872
Independent,2,NA,2,2,2,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.142857143,3,NA,4,1.5,0.809995659,1.010467275,-0.619385178
Democrat,2,2,2,2,2,2,2,3,2,NA,2,NA,2,NA,2,3,NA,2,NA,2.857142857,3,NA,3,2,0.524281373,0.654039518,0.009082872
Democrat,3,3,3,2,2,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.625,4,NA,4,1,0.292138516,0.364441966,-1.247853227
Independent,2,NA,2,2,2,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,4,3,4,1.333333333,0.667138516,0.832253397,-0.828874527
Democrat,3,1,1,2,2,NA,2,1,2,NA,2,NA,NA,NA,NA,1,NA,NA,2,3.272727273,4,NA,4,1,0.939865789,1.172479892,-1.247853227
Democrat,2,NA,1,2,2,NA,1,1,2,NA,NA,2,NA,NA,NA,NA,NA,NA,1,3.444444444,4,NA,3,1.5,1.111582961,1.386696574,-0.619385178
Democrat,2,NA,1,1,NA,NA,1,1,1,NA,NA,3,NA,NA,NA,2,NA,NA,NA,3.5,4,3,4,1.333333333,1.167138516,1.456001971,-0.828874527
Independent,3,1,4,3,3,3,2,2,NA,NA,NA,1,3,3,2,NA,NA,NA,2,2.538461538,3,NA,4,1.5,0.205600055,0.256485482,-0.619385178
Republican,4,NA,4,4,4,4,4,4,4,4,NA,NA,4,NA,4,NA,4,4,NA,1,1,4,4,2,-1.332861484,-1.662740901,0.009082872
Independent,2,NA,1,2,2,1,2,3,2,1,2,3,NA,2,2,NA,NA,NA,NA,3.076923077,4,NA,4,1,0.744061593,0.928214716,-1.247853227
Independent,2,NA,2,2,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,4,4,4,1,0.467138516,0.582753967,-1.247853227
Republican,3,4,3,3,4,4,3,4,4,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,1.4,1,NA,2,3.5,-0.932861484,-1.163742041,1.894487019
Democrat,2,2,1,3,2,2,1,2,1,2,NA,NA,NA,NA,2,NA,NA,3,2,3.076923077,4,NA,4,1,0.744061593,0.928214716,-1.247853227
Independent,4,NA,4,4,3,4,2,2,4,4,2,3,NA,NA,NA,NA,NA,4,NA,1.666666667,1,4,2,2.666666667,-0.666194817,-0.831076135,0.84704027
Republican,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,4,3,4,1.071428571,1,NA,2,3.5,-1.261432912,-1.573633961,1.894487019
Independent,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,NA,2,2,0.667138516,0.832253397,0.009082872
Independent,2,NA,1,2,2,2,NA,3,2,2,NA,NA,NA,2,NA,NA,NA,NA,NA,3,3,2,3,2.333333333,0.667138516,0.832253397,0.428061571
Democrat,2,2,2,2,3,NA,NA,2,2,3,NA,NA,NA,NA,3,2,3,NA,3,2.583333333,3,NA,3,2,0.250471849,0.312462918,0.009082872
Other,2,NA,1,1,1,1,1,1,1,2,NA,2,NA,NA,2,NA,2,2,NA,3.538461538,4,2,3,2,1.205600055,1.50398263,0.009082872
Independent,3,4,2,2,3,2,3,3,2,3,NA,NA,NA,4,3,NA,2,NA,2,2.285714286,3,NA,4,1.5,-0.047147198,-0.058815995,-0.619385178
Republican,1,NA,2,3,NA,NA,NA,3,1,NA,4,NA,NA,NA,NA,NA,NA,NA,3,2.571428571,4,3,2,2,0.238567088,0.297611761,0.009082872
Republican,3,NA,3,3,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.25,2,3,3,2.333333333,-0.082861484,-0.103369465,0.428061571
Republican,2,2,1,1,2,2,2,1,2,NA,NA,2,2,2,2,NA,NA,2,NA,3.214285714,3,NA,2,2.5,0.88142423,1.099574214,0.637550921
Democrat,2,NA,1,2,2,3,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,2,3,2,0.667138516,0.832253397,0.009082872
Independent,4,4,3,4,4,4,4,4,4,NA,3,NA,NA,NA,NA,4,NA,NA,4,1.166666667,4,NA,4,1,-1.166194817,-1.454824709,-1.247853227
Independent,4,4,3,3,4,NA,NA,2,2,NA,NA,4,NA,2,NA,NA,NA,NA,NA,1.888888889,3,NA,3,2,-0.443972595,-0.553854546,0.009082872
Independent,2,2,2,2,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3.142857143,3,NA,2,2.5,0.809995659,1.010467275,0.637550921
Independent,3,3,1,4,4,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.857142857,4,NA,4,1,-0.475718627,-0.59345763,-1.247853227
Republican,4,4,4,4,4,3,4,NA,4,NA,4,NA,NA,4,NA,4,NA,4,4,1.076923077,1,NA,2,3.5,-1.255938407,-1.566779582,1.894487019
Republican,3,3,3,3,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,2,NA,3,2.5,-0.532861484,-0.664743182,0.637550921
Republican,3,3,2,3,4,3,4,4,4,NA,3,NA,3,NA,NA,3,3,NA,NA,1.769230769,2,NA,2,3,-0.563630715,-0.703127709,1.26601897
Independent,4,NA,1,1,1,1,1,1,1,1,NA,NA,NA,1,1,NA,1,1,NA,3.769230769,4,4,4,1,1.436369285,1.791866588,-1.247853227
Independent,3,3,3,3,3,3,3,3,3,NA,3,3,NA,3,3,3,NA,NA,NA,2,3,NA,3,2,-0.332861484,-0.415243752,0.009082872
Republican,4,NA,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,4,NA,NA,2,1.2,1,NA,3,3,-1.132861484,-1.413241471,1.26601897
Republican,4,NA,4,3,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.75,1,3,3,2.666666667,-0.582861484,-0.727118039,0.84704027
Democrat,2,NA,1,2,2,1,1,1,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,3.444444444,4,3,3,1.666666667,1.111582961,1.386696574,-0.409895828
Republican,4,4,4,2,3,3,3,3,3,NA,NA,3,NA,NA,3,3,3,NA,3,1.857142857,2,NA,2,3,-0.475718627,-0.59345763,1.26601897
Democrat,2,NA,1,2,2,2,3,2,2,2,2,2,NA,2,NA,NA,2,NA,NA,3,4,2,2,2.333333333,0.667138516,0.832253397,0.428061571
Republican,4,4,4,2,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.222222222,2,NA,3,2.5,-1.110639262,-1.385519312,0.637550921
Independent,3,4,3,3,3,3,4,4,4,3,NA,4,3,NA,3,NA,NA,3,NA,1.642857143,2,NA,2,3,-0.690004341,-0.860778448,1.26601897
Democrat,2,2,1,2,2,NA,2,2,2,NA,NA,NA,2,NA,NA,NA,NA,NA,2,3.1,3,NA,3,2,0.767138516,0.957003111,0.009082872
Other,2,2,1,2,2,2,2,2,3,3,3,NA,NA,NA,NA,2,NA,NA,NA,2.833333333,4,NA,3,1.5,0.500471849,0.624337205,-0.619385178
Independent,2,NA,1,2,2,2,2,2,2,2,NA,NA,NA,NA,2,NA,2,2,2,3.076923077,4,2,4,1.666666667,0.744061593,0.928214716,-0.409895828
Independent,4,NA,2,3,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.75,2,2,4,2.333333333,-0.582861484,-0.727118039,0.428061571
Democrat,1,3,1,1,3,3,3,4,3,4,2,4,NA,NA,NA,NA,4,4,NA,2.142857143,4,NA,4,1,-0.190004341,-0.237029874,-1.247853227
Democrat,1,NA,1,1,NA,NA,NA,4,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,3.333333333,4,4,4,1,1.000471849,1.248085779,-1.247853227
Republican,3,NA,1,2,NA,NA,2,2,2,NA,NA,3,NA,NA,NA,NA,NA,2,NA,2.875,4,2,2,2.333333333,0.542138516,0.676316253,0.428061571
Democrat,1,NA,1,1,2,2,2,2,2,2,NA,NA,2,2,NA,NA,2,2,NA,3.230769231,4,2,4,1.666666667,0.897907747,1.120137354,-0.409895828
Democrat,2,NA,1,2,1,1,1,2,1,3,NA,3,NA,2,NA,NA,4,4,NA,2.923076923,4,2,4,1.666666667,0.590215439,0.736292077,-0.409895828
Independent,3,3,2,2,2,3,3,2,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,2.4,4,NA,3,1.5,0.067138516,0.083755107,-0.619385178
Democrat,3,2,2,2,NA,NA,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.571428571,3,NA,3,2,0.238567088,0.297611761,0.009082872
Democrat,2,4,1,2,2,4,3,4,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,2.363636364,4,NA,4,1,0.03077488,0.038391575,-1.247853227
Democrat,2,NA,1,2,3,1,3,2,2,NA,2,NA,NA,NA,NA,NA,NA,2,NA,3,4,2,3,2,0.667138516,0.832253397,0.009082872
Republican,3,NA,4,3,3,3,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.75,2,3,2,2.666666667,-0.582861484,-0.727118039,0.84704027
Independent,3,NA,3,3,3,3,3,1,3,3,3,NA,NA,NA,3,NA,3,3,NA,2.153846154,4,2,4,1.666666667,-0.17901533,-0.223321114,-0.409895828
Independent,4,4,3,4,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,4,NA,4,1,-1.132861484,-1.413241471,-1.247853227
Democrat,3,3,3,2,3,4,4,4,3,3,NA,3,NA,NA,3,3,NA,3,NA,1.857142857,1,NA,3,3,-0.475718627,-0.59345763,1.26601897
Independent,2,3,2,2,2,3,2,2,2,3,4,3,NA,NA,NA,NA,3,NA,4,2.357142857,4,NA,2,2,0.024281373,0.030290944,0.009082872
Republican,4,NA,4,NA,4,4,4,4,4,NA,4,NA,NA,NA,NA,4,NA,NA,4,1,1,3,1,3.333333333,-1.332861484,-1.662740901,1.684997669
Republican,NA,4,2,2,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,3,-0.332861484,-0.415243752,1.26601897
Other,1,NA,1,1,1,1,1,1,1,1,1,1,NA,2,NA,NA,1,NA,NA,3.923076923,4,1,4,2,1.590215439,1.983789226,0.009082872
Independent,4,4,3,2,4,3,4,3,4,NA,NA,4,2,4,NA,NA,NA,2,NA,1.692307692,2,NA,2,3,-0.640553792,-0.799089029,1.26601897
Other,4,NA,3,3,4,3,4,3,4,NA,3,4,NA,2,NA,3,NA,NA,NA,1.666666667,1,3,2,3,-0.666194817,-0.831076135,1.26601897
Independent,2,NA,2,2,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,NA,NA,1,0.667138516,0.832253397,-1.247853227
Democrat,NA,NA,1,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,3.25,4,NA,NA,1,0.917138516,1.144127684,-1.247853227
Republican,4,NA,4,4,NA,3,4,4,4,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,1.125,1,NA,1,4,-1.207861484,-1.506803757,2.522955068
Democrat,2,NA,1,1,2,2,2,2,1,NA,NA,NA,NA,2,NA,NA,NA,2,NA,3.3,4,NA,4,1,0.967138516,1.206502541,-1.247853227
Republican,3,NA,3,4,NA,4,4,4,4,NA,NA,NA,NA,NA,4,4,4,4,4,1.166666667,1,3,3,2.666666667,-1.166194817,-1.454824709,0.84704027
Democrat,2,NA,2,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,3,3,3,2,2.333333333,0.667138516,0.832253397,0.428061571
Independent,3,3,2,2,NA,3,3,2,3,2,2,2,NA,2,NA,NA,NA,NA,2,2.615384615,1,NA,3,3,0.282523132,0.352446801,1.26601897
Other,3,3,3,3,3,4,4,4,4,3,NA,4,NA,4,NA,NA,NA,4,4,1.428571429,2,NA,2,3,-0.904290055,-1.128099266,1.26601897
Republican,3,4,3,2,NA,NA,NA,4,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1.714285714,1,NA,NA,4,-0.61857577,-0.771671509,2.522955068
Independent,4,NA,4,4,4,4,4,4,4,NA,NA,4,NA,4,4,NA,NA,4,4,1,2,4,3,2,-1.332861484,-1.662740901,0.009082872
Republican,3,NA,4,4,4,4,4,4,4,NA,4,4,NA,4,4,NA,4,NA,NA,1.076923077,1,3,2,3,-1.255938407,-1.566779582,1.26601897
Other,4,4,1,2,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,2.2,4,NA,4,1,-0.132861484,-0.165744322,-1.247853227
Independent,4,NA,3,3,4,3,4,4,4,NA,NA,NA,NA,4,NA,NA,4,NA,NA,1.3,1,3,2,3,-1.032861484,-1.288491756,1.26601897
Democrat,2,NA,1,3,3,NA,3,3,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2.5,4,4,2,1.666666667,0.167138516,0.208504822,-0.409895828
Other,2,NA,2,3,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,4,2,4,1.666666667,0.267138516,0.333254537,-0.409895828
Independent,2,1,1,3,3,2,3,2,2,NA,2,NA,NA,NA,NA,2,3,2,1,2.928571429,4,NA,4,1,0.595709945,0.743146457,-1.247853227
Democrat,2,NA,1,1,3,1,2,2,2,NA,2,NA,NA,3,NA,NA,NA,NA,NA,3.1,4,3,4,1.333333333,0.767138516,0.957003111,-0.828874527
Democrat,2,1,1,1,2,3,1,2,2,NA,2,3,NA,3,NA,NA,2,NA,2,3.071428571,4,NA,4,1,0.738567088,0.921360336,-1.247853227
Republican,4,4,4,3,4,4,4,4,3,NA,3,NA,3,NA,4,NA,NA,NA,4,1.307692308,2,NA,4,2,-1.025169176,-1.278895624,0.009082872
Republican,3,NA,2,2,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,4,3,3,1.666666667,0.467138516,0.582753967,-0.409895828
Republican,4,NA,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,4,4,1,1,NA,3,3,-1.332861484,-1.662740901,1.26601897
Democrat,4,NA,2,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.75,4,4,4,1,0.417138516,0.520379109,-1.247853227
Democrat,3,4,1,2,NA,3,NA,2,NA,NA,NA,4,4,NA,NA,NA,4,4,NA,1.9,4,NA,4,1,-0.432861484,-0.539993467,-1.247853227
Democrat,1,NA,1,2,2,1,2,1,1,NA,NA,NA,2,2,NA,NA,2,NA,2,3.416666667,4,NA,4,1,1.083805183,1.352043875,-1.247853227
Republican,4,4,4,4,3,NA,4,3,4,NA,4,4,NA,NA,NA,NA,NA,NA,NA,1.2,1,NA,3,3,-1.132861484,-1.413241471,1.26601897
Democrat,2,2,1,2,2,2,2,1,1,NA,2,2,1,2,NA,NA,NA,2,NA,3.285714286,4,NA,3,1.5,0.952852802,1.188681153,-0.619385178
Independent,2,NA,1,4,2,2,1,1,1,NA,NA,3,NA,2,NA,NA,NA,NA,1,3.181818182,4,3,3,1.666666667,0.848956698,1.05907106,-0.409895828
Republican,4,NA,2,3,NA,NA,NA,3,3,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1.833333333,2,3,2,2.666666667,-0.499528151,-0.623159943,0.84704027
Republican,3,NA,3,2,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.125,1,3,2,3,-0.207861484,-0.259306608,1.26601897
Democrat,NA,NA,NA,2,NA,NA,3,3,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,2.4,NA,3,NA,2,0.067138516,0.083755107,0.009082872
Democrat,2,NA,1,2,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,4,3,3,1.666666667,0.867138516,1.081752826,-0.409895828
Republican,4,NA,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,4,2,2.333333333,-1.332861484,-1.662740901,0.428061571
Republican,2,2,3,3,NA,NA,NA,3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,2.333333333,1,NA,2,3.5,0.000471849,0.000588631,1.894487019
Republican,4,2,4,2,2,3,2,2,3,NA,3,NA,NA,NA,2,NA,2,3,NA,2.384615385,2,NA,2,3,0.051753901,0.064562844,1.26601897
Republican,2,4,2,3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,2,NA,4,2,-0.132861484,-0.165744322,0.009082872
Republican,4,4,3,3,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1.571428571,2,NA,3,2.5,-0.761432912,-0.949885387,0.637550921
Democrat,NA,NA,1,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.666666667,4,NA,NA,1,1.333805183,1.663918162,-1.247853227
Democrat,2,NA,1,2,2,2,2,2,1,3,NA,2,NA,NA,NA,2,1,NA,NA,3.166666667,4,3,4,1.333333333,0.833805183,1.040169588,-0.828874527
Independent,1,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3,4,1.333333333,1.667138516,2.079750545,-0.828874527
Republican,4,4,3,4,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.166666667,2,NA,4,2,-1.166194817,-1.454824709,0.009082872
Democrat,2,NA,1,2,4,3,3,1,4,NA,NA,4,3,4,4,NA,3,NA,NA,2.076923077,2,2,3,2.666666667,-0.255938407,-0.319282433,0.84704027
Independent,4,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.333333333,1,NA,NA,4,-0.999528151,-1.246908518,2.522955068
