PARTY,Q2A_C,Q2A_D,Q2A_F,Q2B_A,Q2B_B,Q2B_C,Q2B_D,Q2B_E,Q2B_F,Q2B_G,Q2B_H,Q2B_I,Q2B_J,Q2B_K,Q2B_L,Q2B_M,Q2B_N,Q2B_O,Q2B_P,demFav,Q2A_A,Q2A_B,Q2A_E,repFav,cDemFav,zDemFav,zRepFav
Democrat,2,NA,1,2,2,NA,3,1,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,3.125,4,3,4,1.333333333,0.792138516,0.98819054,-0.828874527
Independent,2,2,1,2,2,2,2,2,2,NA,NA,2,NA,2,NA,2,NA,NA,NA,3.083333333,4,NA,3,1.5,0.750471849,0.936211492,-0.619385178
Independent,4,2,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,1,NA,2,3.5,0.167138516,0.208504822,1.894487019
Independent,2,NA,2,1,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.166666667,4,2,4,1.666666667,0.833805183,1.040169588,-0.409895828
Independent,2,NA,1,2,NA,2,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.333333333,4,3,4,1.333333333,1.000471849,1.248085779,-0.828874527
Independent,4,NA,2,3,NA,NA,3,2,2,NA,NA,NA,NA,NA,NA,NA,3,3,NA,2.25,4,3,3,1.666666667,-0.082861484,-0.103369465,-0.409895828
Independent,3,2,3,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,2,NA,2,3,0.267138516,0.333254537,1.26601897
Democrat,1,3,2,3,2,2,2,3,2,2,NA,2,3,NA,NA,NA,2,3,NA,2.714285714,4,NA,4,1,0.38142423,0.47582564,-1.247853227
Independent,2,3,2,2,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2.857142857,4,NA,3,1.5,0.524281373,0.654039518,-0.619385178
Independent,3,NA,1,2,3,4,2,2,2,3,3,NA,2,3,NA,NA,3,NA,NA,2.461538462,3,2,3,2.333333333,0.128676978,0.160524163,0.428061571
Democrat,2,2,1,2,1,1,1,2,1,NA,NA,NA,NA,1,NA,NA,NA,3,2,3.416666667,4,NA,4,1,1.083805183,1.352043875,-1.247853227
